volume,dihedral,scissors_angle,p1-p2,p2-pro,p2-sensor,p1-sensor,p1-pro,sensor-pro
61.625,-22.982790475065112,56.67910632185632,10.632860355519512,11.473821363111895,15.745082027728156,12.870138903367971,12.507051532583382,11.885674142082909
85.375,-27.858291719385303,57.7159607718006,10.77643725099962,11.78033868379452,14.953932758218462,12.14124373550772,12.620237232389162,10.479057525880917
71.375,-29.79561542022004,58.63892625197623,10.871014209016334,12.226584769110788,15.471135555994554,12.555500026131066,12.588852689270288,10.988932819366203
80.25,-29.09315572178403,60.184506461559785,10.451621878779328,11.138291696148883,14.777725269389755,12.430389930608664,12.382161928815082,10.812433931110156
62.875,-28.103696965469183,57.67985272280463,10.950028416277773,11.432282625262545,14.75046363500449,12.703863238517773,12.81068927625394,10.52872010033848
121.625,-28.953391757448045,58.88037815927851,11.02241515061511,12.137013746619436,15.716743621428206,13.247542598064246,12.747374836502845,10.63494123034814
88.25,-29.629397617385514,60.62782584162228,10.741172522184444,11.40373757684043,15.099834728743271,12.45757477649775,12.306361349662907,9.97020941836114
67.125,-28.464398482575,59.68660754403364,10.582748176298532,11.644570349639102,15.038466707753136,12.91773320015727,12.435989494557369,10.11335741985039
89.0,-24.388972037205733,58.61241294742961,10.768646092861308,12.343919896022,14.54490809403618,11.531010087886097,13.121007413129773,9.845006981927805
83.0,-27.345746103179785,61.718319924157335,11.130987720644171,11.67259932771312,15.614214254870005,12.508980577080266,12.75644173569011,10.615686870762982
77.5,-25.31742023515354,58.70780447030383,10.654035756661376,11.677936496019209,14.600887173149092,12.444690817400062,12.545746673489347,10.38168436133041
66.125,-30.628725660703925,61.03763969312165,10.807293677009628,11.88613022594255,15.371865770292295,12.798446738765117,12.941710087690865,10.894685368621433
78.25,-26.93486437702252,59.23035865864163,10.623573283978288,11.319982267943631,15.1387705563955,12.5794084555896,12.811090857789424,10.600880942843908
79.75,-27.15802480632035,58.428113026258494,10.653293074505248,11.59746079401997,14.690433626982266,12.41851291077344,12.664041790333451,10.851656913917951
85.375,-32.30385131560876,63.23329761242579,10.792233412025505,12.43048710219458,13.40824098421178,10.849739622368226,13.036061220405674,9.653864904513556
90.375,-27.46060593053309,59.58018679445927,11.04175546428508,12.051667554892266,13.99358709166774,12.148923018901328,13.28875940912574,10.982856890711972
106.75,-27.80870181892207,59.840134587626245,10.703679719874172,11.806354464823457,13.436552931633331,11.49648476339983,13.542948982112856,9.97806785726674
85.375,-25.97119133122819,58.91360302266696,10.710496706903692,12.24610259128745,14.080502513362775,12.13208564706314,13.099411414960414,10.072636261550514
85.125,-28.00373887287074,58.910790569797385,10.96579295944516,11.437755042198653,15.548206731958816,12.806847053765823,12.6036968794601,11.756820998697076
109.25,-26.33301705336205,61.3108195842019,10.81769057853371,11.3201490846634,14.251465275290528,11.78170951436527,12.79163485069201,9.953230270842257
