volume,dihedral,scissors_angle,p1-p2,p2-pro,p2-sensor,p1-sensor,p1-pro,sensor-pro
28.125,-5.176829013453022,57.44412408945186,10.312039317419323,10.503270217955349,12.363806391489696,9.420121126888237,12.716942523859585,10.752919594716492
28.125,-2.586570691986935,58.0746357546262,10.070677992855058,10.437020977097491,12.404460482331125,9.657288612691955,12.723839082757882,10.510630535318636
17.5,-2.0031716738292475,57.83045633778735,9.709374838361146,10.84986241781018,12.558496403937674,9.98466358108156,12.667516604006211,10.425764845858382
25.25,-4.790684160071603,57.36228030277653,9.945417144848989,10.518105306396526,12.10911787294308,9.371638562796342,12.758864688314867,10.340981721800846
23.75,-2.810779715289366,56.31211109967781,9.81193012461413,10.363561369466074,12.263581394122072,9.531932630662912,12.709739108736306,10.166071689114698
24.25,-5.446922837022901,57.64085565898972,10.063822038267428,10.623777512533744,12.134425826062254,9.26759910115466,12.83546452765155,10.25478001446265
18.625,-5.40059470400702,57.55499310953419,10.08125567831688,10.85294126697618,11.973941666406985,9.242177125694226,12.953012357429824,10.205341688261782
24.5,-4.72773640617418,57.50961501832169,10.056447262901484,10.382289395850568,11.948392218422306,9.259097767174127,12.78402876666724,10.269278439838928
20.875,-6.741605555384415,57.19811783023579,10.136987627258677,10.725610456084972,11.918836924363728,9.389217473100892,13.06818202887314,10.603246997736075
30.0,-6.057474432585515,56.90150005137204,10.25395251246834,10.31878275160811,12.048923892075264,9.459364337832422,12.875073706290348,10.342888759797832
29.375,-5.907634539625309,57.29288948999905,10.032358609907051,10.647096845978393,11.55073027176311,9.191872295469508,12.992899930160323,9.871618639468746
40.125,-5.162745256864288,56.82019732211337,10.11902863622864,10.521205501086014,11.790327753697309,9.394692105715276,13.229138765561508,10.416981415713416
20.75,-6.154826004940698,58.19883869770535,10.03962886810721,10.61336066902972,11.691899818196626,9.780383001276784,13.261318617080098,10.48982489048736
22.75,-7.274644060789134,58.20318381569823,10.05633957039659,10.377271524649816,11.882540894696422,9.76943645385192,12.80749535828765,10.183666497212949
19.625,-6.471507972713025,58.0220424343916,9.812017179334866,10.360193420154264,11.65730673888811,9.431505821174984,12.69171316139078,10.05809323189007
17.625,-6.577842931726671,58.12590848393632,10.164592886612922,10.498722658442029,11.850189984937154,9.315708105384344,12.811835301817258,10.24936322200453
23.5,-6.368799639531131,56.57416897450147,10.38000308109608,10.165868322425816,12.215871807621516,10.070691910753014,13.240201395343153,10.302760764962487
31.875,-6.595612913283476,57.65416626572496,10.263977410562635,10.68928593798699,11.879595257771816,9.796517778866944,13.465126093331747,10.325025676250826
24.375,-7.206889712996816,57.961543404722185,10.206526337838111,10.512758935101289,11.842103426627258,9.890207553252242,13.06185556877424,10.011173669579131
18.625,-5.829766874678416,57.15471885706759,10.50269985645643,10.778569368812104,12.008485280361962,10.14655858439528,13.500303626578877,10.28692684572102
18.75,-6.691920818416397,56.56367900259257,10.645569312869746,10.30608659516135,12.031289308103124,10.04552887026388,13.468945640722906,10.428236296615788
38.25,-7.320114435141643,55.93675604157541,10.440982605298132,10.742719559391068,11.810633930117232,10.010147329342006,13.262167691337403,10.350285401479216
24.125,-6.263461051207131,56.09493139875623,10.366355537995858,10.591724629451598,12.224283225654991,10.222262145874591,13.579868051496904,10.345809167732083
26.0,-7.714510628080372,57.158354110877504,10.755428650017397,10.853625310928006,11.991804109963695,10.137034262858402,13.418407254453836,10.356368964050734
26.875,-6.384655842785778,57.85005212882309,10.366540830814944,10.638099458806948,11.916310836435043,10.29788132117736,13.273174934065088,10.34928668422268
26.0,-4.658427446942895,56.58498281393873,10.540224279782556,10.7440662060326,12.28655547187282,9.882537188271664,13.519809111329783,10.573638314474248
28.0,-5.56596684462022,57.38040792172912,10.430354224889268,10.602625384482854,12.0886815805055,10.421114645916491,13.33203813314082,10.48036456523426
24.375,-7.723453559986713,56.93592992159023,10.5572693087717,10.782287269898209,12.592933245517257,10.565268633171325,13.082379524510255,10.620807224887765
28.875,-5.852310669121778,57.46999039820342,10.526900430412224,10.879567248237986,12.120791877119398,10.035600823193558,13.27919965004902,10.36964252542553
23.125,-7.568709565280025,58.84572300896698,10.340551331332373,10.430205265882522,12.109943345036884,10.313532855112843,13.063632147458192,10.359295773331826
16.625,-7.53197094482434,56.33760416291539,10.47657723856453,10.928636522229716,12.216420819246764,10.252290289196992,13.24860268102961,10.424547752858109
28.25,-9.33202864366573,57.5644831977947,10.606740390188303,10.659406255685507,11.83684184155046,9.731094177841111,13.094965534875357,9.981703246477798
33.5,-7.923036141217685,57.6943175580729,10.67175322899886,10.936085785128006,12.216585333149936,10.19859791374187,13.34055992043543,10.53691294319269
27.875,-9.24648012952283,57.418404276989584,10.273115602349348,10.689035709227475,11.726504461229954,10.150805390998482,13.1203958849897,10.455294938184352
25.125,-6.715959718713303,56.89227655691575,10.53629087850669,10.775498586364597,12.009833026912752,10.043871012907246,14.125684705523296,10.674520220213042
25.25,-5.564954278716859,57.03250449985483,10.285141238104124,10.529741953660029,12.133385376786778,10.55050689085564,12.960856835872391,10.564675134361837
24.875,-7.19692474958504,58.13356709645064,10.172828137700924,10.938405025223656,12.282867145376722,10.136603541142035,13.331266792650986,10.337106242287604
21.875,-4.988512026001155,57.56844549194707,10.483743938422176,10.84226729555692,11.844224940930964,10.12520856177136,13.531541890282202,10.385619496377368
33.0,-6.017144820860726,56.42004024268479,10.441175297064008,11.02616474340883,12.311380533566838,9.892443667488283,13.088530516551147,10.294450591661894
30.5,-6.2327711596484106,56.44739420831666,10.364384974136348,10.742140327099722,11.801975595137648,9.640946521457913,12.988120939588738,9.875808542792145
27.5,-6.409039957701207,56.88183918543056,10.601247177251794,10.69319058125806,12.384839318458962,9.964997408961665,12.889236958274177,10.122851914990555
35.0,-7.1518554439529325,57.93043387458107,10.736326790267244,10.811039390441398,12.00821571063292,10.402886221723062,13.457580976203907,10.192901490168468
34.625,-4.775641286871782,57.85921446891147,10.49456600754961,10.72873107327382,11.963878565131193,10.336649483129436,13.388683033015536,10.033992041250292
41.125,-6.605377096334842,55.58028878013821,10.280641767114783,10.769089512128897,11.976019629746546,9.8614385067206,13.15033521143116,10.265858974172064
31.75,-6.284272172938756,57.20701321335216,10.261935782212603,10.65604130046575,12.190110508295412,10.061476840733611,13.214582588682871,10.376423139590056
