volume,dihedral,scissors_angle,p1-p2,p2-pro,p2-sensor,p1-sensor,p1-pro,sensor-pro
80.125,-11.003362503771992,56.92827957875458,11.384358222630697,10.221909657559069,12.399191606837624,9.97017772455026,13.43523233616455,10.583290719428138
86.625,-12.20531927905346,55.43176895682763,11.692462545369745,10.554423633427517,12.166113180629823,10.207350448238634,14.0162729422446,10.317067998501184
100.0,-7.845104543838673,55.30193314958019,11.910498921056588,10.787245788029663,12.343532590023615,10.529745025216672,13.627850372939642,10.173896787840407
76.25,-10.568278131510471,55.8693887736993,11.53933514869948,10.277538347849564,12.293662224247134,10.052392181916623,13.750483199513056,10.268215760857856
82.125,-7.457219749841109,55.71347131162542,11.656323746861958,10.437140736007008,12.578275999516368,10.072249832566824,13.615208726540835,10.700978998443798
68.375,-7.585492856546428,58.96516779087732,11.77998939779316,10.891706764349346,11.901069588446337,9.756090416277196,13.597887913653286,9.922891307009442
82.625,-8.476162112228415,58.260528614215225,11.927218747006432,10.568962694224934,12.218149983469605,10.224302710964324,13.857041667668948,9.88659644343968
88.5,-10.549216663011457,58.52187057508529,11.65338717260972,10.711443684430952,12.23574507965761,10.114038688112206,13.46716661371936,9.707969772009548
81.5,-8.747841705855786,57.79716988256911,11.851954194391004,10.847670466526546,12.217864771091676,9.704261170174895,13.518047192852393,10.077234471589623
77.625,-11.12619839033192,59.00418716603339,11.728246139575509,10.67228472040119,12.38880748961749,9.901079814933604,13.351849989924602,10.186317247476213
59.75,-11.586187473449195,57.213370050131935,11.245270955829923,10.743668587747804,12.213236268047543,9.470187365446474,12.914976301745318,10.85509605643176
55.625,-12.03713676911115,58.70436735376551,11.742609498768264,10.008636362365394,12.19634037521793,10.150262964288494,12.582618118993723,9.373063371026204
69.0,-11.009176901026985,56.00005589602409,11.89416697703237,10.354120196955652,11.665227273336525,9.765270837198043,12.813516466050231,9.758369381797673
63.625,-10.425265746624232,57.66205245941864,11.818615497318923,9.966199788233665,11.728488605271377,10.06934222298381,12.900833504047286,9.865343216154034
75.125,-12.91988747442327,58.613581804854505,11.949021746297818,10.029002653643223,11.76474611120052,10.048372602126417,13.149378331946558,9.679392504044491
66.375,-11.891056823736234,57.4872001981804,11.757925286493746,9.88138519927566,12.00327850180082,9.865965146986984,12.401652890094628,9.895576842427854
84.625,-9.0594378596926,58.235009477245306,11.626834086636975,9.71176583847974,12.060083798415786,9.750818886440507,12.68293049422613,9.62619814592552
82.125,-11.032297603237463,58.76658633074122,11.859104900839505,10.392835501740134,12.369480846440952,10.21669830337724,13.046374221802992,9.778745855203583
74.75,-13.822367451728583,58.201102787525,12.007176978833556,10.528080991058154,12.034222473908107,10.094237524407063,13.507518454392612,9.678415971570429
83.375,-10.730283511225387,57.742717626491874,11.975557664450664,9.986007525833404,12.098178687586914,10.058591973714403,13.353278668877412,9.6989434261295
86.625,-11.9757878000868,57.049466655033896,11.859239513228562,10.560536474525998,12.615519818210572,10.227311622876115,14.01141227298376,10.368141326234356
81.5,-10.462466244536824,57.72058091333039,11.856209315158384,10.36436558314283,12.05149921175302,10.31779699939677,13.51812283083522,10.153519965210066
82.25,-10.118097639866392,57.11903056156272,11.634673718406832,10.380557183822644,11.909093124739908,10.1993558634072,13.75183454169934,9.854785217165215
92.375,-10.63547594897548,56.22209803715848,11.81825688787864,10.58877564704973,12.38579224079216,10.278212847609025,13.66512952238656,10.460798515050849
77.875,-10.243877951276238,54.80162520220274,11.72525698855205,10.46769834081389,12.242739622687782,9.814175590132722,13.868166061591626,10.648441545456208
